sample  population
A0315	A03
A0323	A03
A0405	A04
A0702	A07
A0721	A07
A0722	A07
A07p7	A07
A1003	A10
A1004	A10
A1005	A10
A1008	A10
A1010	A10
A1011	A10
A1102	A11
A1103	A11
A1107	A11
A1110	A11
A1401	A14
A3	A03
A7	A07
D00203	D00
D00205	D00
D00207	D00
D00209	D00
D00210	D00
D00213	D00
D00215	D00
D00217	D00
D00221	D00
D00223	D00
D01203	D01
D01205	D01
D01213	D01
D01215	D01
D01218	D01
D01219	D01
D01220	D01
D01223	D01
D01224	D01
D01225	D01
D01226	D01
D01228	D01
D01230	D01
D01231	D01
D01233	D01
D01236	D01
D01238	D01
D01240	D01
D01241	D01
D01242	D01
D01243	D01
D01247	D01
D01250	D01
D01251	D01
D01252	D01
D01254	D01
D01255	D01
D01256	D01
D01259	D01
D01261	D01
D01262	D01
D01265	D01
D01273	D01
D03203	D03
D03205	D03
D03214	D03
D03225	D03
D03234	D03
D03248	D03
D03261	D03
D03270	D03
D03282	D03
D03294	D03
D04189	D04
D04193	D04
D04196	D04
D04197	D04
D04200	D04
D04201	D04
D04203	D04
D04206	D04
D04210	D04
D04219	D04
D04352	D04
D04356	D04
D04362	D04
D04364	D04
D04374	D04
D04384	D04
D04397	D04
D04430	D04
D04453	D04
D04475	D04
D05214	D05
D05222	D05
D05228	D05
D05244	D05
D05268	D05
D05278	D05
D05286	D05
D05288	D05
D05292	D05
D05305	D05
D09212	D09
D09216	D09
D09219	D09
D09225	D09
D09235	D09
D09236	D09
D09299	D09
D09305	D09
D09309	D09
D09311	D09
D12203	D12
D12205	D12
D12210	D12
D12212	D12
D12215	D12
D12219	D12
D12221	D12
D12239	D12
D12247	D12
D32254	D32
D32288	D32
D35060	D35
D35061	D35
D35065	D35
D35070	D35
D35087	D35
D35090	D35
D35091	D35
D35097	D35
D35101	D35
D35103	D35
D4	D04
H00207	H00
H00215	H00
H00220	H00
H00227	H00
H00229	H00
H00240	H00
H00241	H00
H00251	H00
H00252	H00
H01201	H01
H01207	H01
H01212	H01
H01219	H01
H01224	H01
H01231	H01
H01232	H01
H01233	H01
H01234	H01
H01238	H01
H01243	H01
H01244	H01
H01245	H01
H01247	H01
H01248	H01
H01249	H01
H01250	H01
H01255	H01
H01257	H01
H01259	H01
H01262	H01
H01265	H01
H01276	H01
H01277	H01
H01280	H01
H01281	H01
H01286	H01
H01287	H01
H01288	H01
H01289	H01
H01297	H01
H02206	H02
H02215	H02
H02216	H02
H02223	H02
H02225	H02
H02232	H02
H02234	H02
H02236	H02
H02242	H02
H02251	H02
H02274	H02
H02276	H02
H02282	H02
H02286	H02
H02295	H02
H02299	H02
H02303	H02
H02305	H02
H02310	H02
H02315	H02
H03202	H03
H03207	H03
H03211	H03
H03219	H03
H03227	H03
H03240	H03
H03252	H03
H03261	H03
H03264	H03
H03273	H03
H04205	H04
H04207	H04
H04209	H04
H04211	H04
H04214	H04
H04222	H04
H04223	H04
H04229	H04
H04231	H04
H04253	H04
H05206	H05
H05208	H05
H05219	H05
H05224	H05
H05233	H05
H05263	H05
H05280	H05
H05299	H05
H05303	H05
H05331	H05
H06201	H06
H06211	H06
H06220	H06
H06227	H06
H06235	H06
H06257	H06
H06274	H06
H06278	H06
H06402	H06
H06641	H06
H07203	H07
H07204	H07
H07227	H07
H07231	H07
H07233	H07
H07236	H07
H07251	H07
H07262	H07
H07267	H07
H07270	H07
H1	H01
H12201	H12
H12203	H12
H12205	H12
H12207	H12
H12208	H12
H12209	H12
H12237	H12
H12241	H12
H12264	H12
H12271	H12
H14253	H14
H14261	H14
H14266	H14
H14269	H14
H14270	H14
H14274	H14
H14275	H14
H14277	H14
H14301	H14
H14302	H14
H15051	H15
H15058	H15
H5	H05
W2	W02
T1	T01
